ItemOID,ItemLabel,Theme,Domain,ExternalId,ExternalLabel
I_VITAL_SYSTOLICBP_1335,SystolicBP,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/271649006,systolic blood pressure
I_VITAL_DIASTOLICBP_37,DiastolicBP,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/271650006,Diastolic blood pressure
I_VITAL_HEARTRATE_7515,HeartRate,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/364075005,Heart rate
I_VITAL_HEIGHT_3150,Height,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/50373000,Body height measure
I_VITAL_WEIGHT_6650,Weight,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/27113001,Body weight
I_VITAL_BMI_6271,bmi,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/60621009,Body mass index
I_VITAL_ABDOMINALCIRCUMFERENCE_5194,AbdominalCircumference,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/396552003,Abdominal circumference
I_MEDIC_MEDICATIONNAME_2443,MedicationName,Pharmaceutical,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/410942007,Drug or medicament
I_MEDIC_MEDICATIONSTARTDATE_6157,MedicationStartDate,Pharmaceutical,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/413946009,Date treatment started
I_MEDIC_MEDICATIONENDDATE_2617,MedicationEndDate,Pharmaceutical,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/413947000,Date treatment stopped
I_MEDIC_MEDICATIONDOSE_1998,MedicationDose,Pharmaceutical,Observables,http://snomed.info/sct/900062011000036108/version/20150831/id/712091000168102,Drug dose
I_MEDIC_MEDICATIONDOSEUNIT_2971,MedicationDoseUnit,Pharmaceutical,Observables,http://snomed.info/sct/900062011000036108/version/20150831/id/700000471000036108,unit dose
I_MEDIC_MEDICATIONDOSEFORM_3200,MedicationDoseForm,Pharmaceutical,Observables,http://snomed.info/sct/900062011000036108/version/20150831/id/30383011000036100,form
I_MEDIC_MEDICATIONFREQ_7034,MedicationFreq,Pharmaceutical,Observables, http://snomed.info/sct/900000000000012004/version/20150831/id/260864003,Frequency
I_MEDIC_MEDICATIONCODE_1591,MedicationCode,Pharmaceutical,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/410942007,Drug or medicament
I_MEDIC_MEDICATIONROUTE,MedicationRoute,Pharmaceutical,Observables,http://snomed.info/sct/900000000000012004/version/20150831/id/410675002,Route of administration
I_VITAL_READINGSTIME,ReadingsTime,VitalSign,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/410669006,Time
I_VITAL_READINGSTAKENBY,ReadingsTakenBy,VitalSign,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/125676002,Person
I_VITAL_READINGSBODYPART,ReadingsBodyPart,VitalSign,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/38866009,Body part structure
I_VITAL_READINGSBODYPOSITION,ReadingsBodyPosition,VitalSign,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/397155001,Body position
I_VITAL_SYSTOLICBP_1220,SystolicBP,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/271649006,systolic blood pressure
I_VITAL_DIASTOLICBP_4036,DiastolicBP,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/271650006,Diastolic blood pressure
I_VITAL_HEARTRATE_8662,HeartRate,VitalSign,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/364075005,Heart rate
I_BLOOD_HAEMOGLOBIN,Haemoglobin,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/416766001,Quantity of haemoglobin in erythrocyte
I_BLOOD_REDBLOODCELL,RedBloodCell,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/14089001,Red blood cell count
